Year,Sector,Good or Service,Export (in millions),Import (in millions),Employment,HypotheticalExportRed,HypotheticalImportRed,HypotheticalEmploymentRed,HypotheticalExportBlue,HypotheticalImportBlue,HypotheticalEmploymentBlue
1997,capital_emp,,294549,253282,4774490,294549,253282,4774490,294549,253282,4774490
1998,capital_emp,,299612,269557,4757320,299612,269557,4757320,299612,269557,4757320
1999,capital_emp,,310794,295717,4720240,310794,295717,4720240,310794,295717,4720240
2000,capital_emp,,356934,347025,4769000,356934,347025,4769000,356934,347025,4769000
2001,capital_emp,,321714,297993,4325420,321714,297993,4325420,321714,297993,4325420
2002,capital_emp,,290437,283323,3525720,330102,312409,4223692,290437,283323,3525720
2003,capital_emp,,293621,295833,1672370,338709,327523,4124358,293621,295833,1672370
2004,capital_emp,,331475,343451,1682810,347540,343368,4027359,331475,343451,1682810
2005,capital_emp,,363322,379331,1718430,356602,359980,3932642,363322,379331,1718430
2006,capital_emp,,414986,418259,1759090,365900,377396,3840153,414986,418259,1759090
2007,capital_emp,,447433,444486,1761770,375440,395654,3749838,447433,444486,1761770
2008,capital_emp,,457655,453743,1712230,385230,414795,3661648,457655,453743,1712230
2009,capital_emp,,390461,369336,1606800,395274,434863,3575532,495262,494723,1720611
2010,capital_emp,,446597,449178,1523930,405580,455901,3491441,535959,539405,1729033
2011,capital_emp,,493956,510799,1523640,416155,477957,3409327,580001,588123,1737497
2012,capital_emp,,527178,548708,1543550,427006,501080,3329145,627662,641241,1746002
2013,capital_emp,,534177,554573,1565380,438140,525322,3250849,679240,699156,1754548
2014,capital_emp,,551056,591115,1615130,449564,550736,3174394,735055,762301,1763137
