Year,Manufacturer,Type,Calories,Protein (g),Fat,Sodium,Dietary Fiber,Carbs,Sugars,Display Shelf,Potassium,Vitamins and Minerals,Serving Size Weight,Cups per Serving
1997,Nabisco,C,13580480,51507,1,130,10,5,6,3,280,25,1,0.33
1998,Quaker Oats,C,13654860,46397,5,15,2,8,8,3,135,0,1,-1
1999,Kelloggs,C,13919710,45977,1,260,9,7,5,3,320,25,1,0.33
2000,Kelloggs,C,14073830,47871,0,140,14,8,0,3,330,25,1,0.5
2001,Ralston Purina,C,14078240,49407,2,200,1,14,8,3,-1,25,1,0.75
2002,General Mills,C,11207760,49616,2,180,1.5,10.5,10,1,70,25,1,0.75
2003,Kelloggs,C,13166830,55026,0,125,1,11,14,2,30,25,1,1
2004,General Mills,C,13323110,56570,2,210,2,18,8,3,100,25,1.33,0.75
2005,Ralston Purina,C,13544950,58955,1,200,4,15,6,1,125,25,1,0.67
2006,Post,C,13727370,65962,0,210,5,13,5,3,190,25,1,0.67
2007,Quaker Oats,C,14005450,84264,2,220,0,12,12,2,35,25,1,0.75
2008,General Mills,C,14215350,108349,2,290,2,17,1,1,105,25,1,1.25
2009,General Mills,C,13994110,93908,3,210,0,13,9,2,45,25,1,0.75
2010,General Mills,C,13829350,107705,2,140,2,13,7,3,105,25,1,0.5
2011,General Mills,C,14031320,126247,1,180,0,12,13,2,55,25,1,1
2012,Ralston Purina,C,14380540,133049,0,280,0,22,3,1,25,25,1,1
2013,Kelloggs,C,14823840,136160,0,290,1,21,2,1,35,25,1,1
2014,Kelloggs,C,15296200,143751,0,90,1,13,12,2,20,25,1,1
