id,year,code,title,totemp
1,2015,113000,Forestry and Logging,51870
2,2015,115000,Support Activities for Agriculture and Forestry,360280
3,2015,211000,Oil and Gas Extraction,193680
4,2015,212000,Mining (except Oil and Gas),205390
5,2015,213000,Support Activities for Mining,412240
6,2015,221000,Utilities,553890
7,2015,236000,Construction of Buildings,1404430
8,2015,237000,Heavy and Civil Engineering Construction,948680
9,2015,238000,Specialty Trade Contractors,4039960
10,2015,311000,Food Manufacturing,1498370
11,2015,312000,Beverage and Tobacco Product Manufacturing,218740
12,2015,313000,Textile Mills,116850
13,2015,314000,Textile Product Mills,115910
14,2015,315000,Apparel Manufacturing,137510
15,2015,316000,Leather and Allied Product Manufacturing,29220
16,2015,321000,Wood Product Manufacturing,379360
17,2015,322000,Paper Manufacturing,370830
18,2015,323000,Printing and Related Support Activities,452060
19,2015,324000,Petroleum and Coal Products Manufacturing,110530
20,2015,325000,Chemical Manufacturing,806060
21,2015,326000,Plastics and Rubber Products Manufacturing,684600
22,2015,327000,Nonmetallic Mineral Product Manufacturing,395960
23,2015,331000,Primary Metal Manufacturing,398340
24,2015,332000,Fabricated Metal Product Manufacturing,1465780
25,2015,333000,Machinery Manufacturing,1128950
26,2015,334000,Computer and Electronic Product Manufacturing,1050150
27,2015,335000,"Electrical Equipment, Appliance, and Component Manufacturing",382030
28,2015,336000,Transportation Equipment Manufacturing,1599730
29,2015,337000,Furniture and Related Product Manufacturing,375310
30,2015,339000,Miscellaneous Manufacturing,586900
31,2015,423000,"Merchant Wholesalers, Durable Goods",2918780
32,2015,424000,"Merchant Wholesalers, Nondurable Goods",2023960
33,2015,425000,Wholesale Electronic Markets and Agents and Brokers,895400
34,2015,441000,Motor Vehicle and Parts Dealers,1909020
35,2015,442000,Furniture and Home Furnishings Stores,468950
36,2015,443000,Electronics and Appliance Stores,513550
37,2015,444000,Building Material and Garden Equipment and Supplies Dealers,1251370
38,2015,445000,Food and Beverage Stores,3053560
39,2015,446000,Health and Personal Care Stores,1036920
40,2015,447000,Gasoline Stations,896890
41,2015,448000,Clothing and Clothing Accessories Stores,1398810
42,2015,451000,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",651150
43,2015,452000,General Merchandise Stores,3228960
44,2015,453000,Miscellaneous Store Retailers,832900
45,2015,454000,Nonstore Retailers,508840
46,2015,481000,Air Transportation,453610
47,2015,482000,Rail Transportation,215090
48,2015,483000,Water Transportation,67660
49,2015,484000,Truck Transportation,1442700
50,2015,485000,Transit and Ground Passenger Transportation,484520
51,2015,486000,Pipeline Transportation,47360
52,2015,487000,Scenic and Sightseeing Transportation,31130
53,2015,488000,Support Activities for Transportation,642860
54,2015,491000,Postal Service,615140
55,2015,492000,Couriers and Messengers,595820
56,2015,493000,Warehousing and Storage,808370
57,2015,511000,Publishing Industries (except Internet),727710
58,2015,512000,Motion Picture and Sound Recording Industries,406650
59,2015,515000,Broadcasting (except Internet),283680
60,2015,517000,Telecommunications,808100
61,2015,518000,"Data Processing, Hosting, and Related Services",290780
62,2015,519000,Other Information Services,232110
63,2015,521000,Monetary Authorities-Central Bank,**
64,2015,522000,Credit Intermediation and Related Activities,2524430
65,2015,523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",892780
66,2015,524000,Insurance Carriers and Related Activities,2216570
67,2015,525000,"Funds, Trusts, and Other Financial Vehicles",**
68,2015,531000,Real Estate,1504710
69,2015,532000,Rental and Leasing Services,538330
70,2015,533000,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),23380
71,2015,541000,"Professional, Scientific, and Technical Services",8483010
72,2015,551000,Management of Companies and Enterprises,2259540
73,2015,561000,Administrative and Support Services,8486410
74,2015,562000,Waste Management and Remediation Services,396010
