Year,Sector,Good or Service,Export (in millions),Import (in millions),Employment,HypotheticalExportRed,HypotheticalImportRed,HypotheticalEmploymentRed,HypotheticalExportBlue,HypotheticalImportBlue,HypotheticalEmploymentBlue
1997,govern_emp,,824,2762,7149540,824,2762,7149540,824,2762,7149540
1998,govern_emp,,818,2849,6913680,818,2849,6913680,818,2849,6913680
1999,govern_emp,,885,2821,6986130,885,2821,6986130,885,2821,6986130
2000,govern_emp,,786,2883,7037920,786,2883,7037920,786,2883,7037920
2001,govern_emp,,831,2882,7440770,831,2882,7440770,831,2882,7440770
2002,govern_emp,,795,2920,7515700,835,2913,7519163,795,2920,7515700
2003,govern_emp,,810,3131,10165660,839,2944,7598383,810,3131,10165660
2004,govern_emp,,821,3734,9386610,843,2976,7678438,821,3734,9386610
2005,govern_emp,,1087,3979,9439900,847,3008,7759335,1087,3979,9439900
2006,govern_emp,,1155,4021,9482720,851,3041,7841086,1155,4021,9482720
2007,govern_emp,,1212,4184,9533390,856,3074,7923697,1212,4184,9533390
2008,govern_emp,,933,3905,9748080,860,3107,8007179,933,3905,9748080
2009,govern_emp,,1069,4415,9928110,864,3141,8091540,1320,4503,10089207
2010,govern_emp,,1121,4621,9926230,869,3175,8176791,1438,4846,10677431
2011,govern_emp,,24348,31293,9861710,873,3209,8262939,1566,5216,11299949
2012,govern_emp,,22835,27861,9716010,877,3244,8349995,1706,5614,11958761
2013,govern_emp,,22946,25334,9681240,882,3279,8437968,1858,6043,12655984
2014,govern_emp,,20438,24163,9472980,886,3315,8526868,2024,6504,13393856
