Year,Sector,Good or Service,Export (in millions),Import (in millions),Employment,HypotheticalExportRed,HypotheticalImportRed,HypotheticalEmploymentRed,HypotheticalExportBlue,HypotheticalImportBlue,HypotheticalEmploymentBlue
1997,indust_emp,,158226,213767,6529130,158226,213767,6529130,158226,213767,6529130
1998,indust_emp,,148266,200140,6537910,148266,200140,6537910,148266,200140,6537910
1999,indust_emp,,147524,221386,6584930,147524,221386,6584930,147524,221386,6584930
2000,indust_emp,,172615,298980,6554000,172615,298980,6554000,172615,298980,6554000
2001,indust_emp,,160104,273870,6059470,160104,273870,6059470,160104,273870,6059470
2002,indust_emp,,156812,267693,2490220,161290,295020,5950982,156812,267693,2490220
2003,indust_emp,,173043,313818,9950100,162486,317804,5844437,173043,313818,9950100
2004,indust_emp,,203960,412827,9658520,163690,342348,5739799,203960,412827,9658520
2005,indust_emp,,233045,523771,9688820,164903,368787,5637035,233045,523771,9688820
2006,indust_emp,,276045,601988,9709730,166126,397268,5536111,276045,601988,9709730
2007,indust_emp,,316335,634746,9617830,167357,427949,5436994,316335,634746,9617830
2008,indust_emp,,388033,779481,9502430,168598,460999,5339651,388033,779481,9502430
2009,indust_emp,,296709,462512,8798020,169847,496601,5244051,462570,937873,9416010
2010,indust_emp,,391748,602663,8180700,171106,534953,5150163,551426,1128451,9330377
2011,indust_emp,,501077,755784,8304950,172375,576267,5057955,657350,1357755,9245522
2012,indust_emp,,501177,730639,8517220,173652,620771,4967399,783621,1633654,9161439
2013,indust_emp,,508080,681552,8579900,174939,668713,4878463,934147,1965616,9078121
2014,indust_emp,,505114,666751,8641330,176236,720356,4791121,1113588,2365033,8995561
