id,year,servicegood,importexport,title,price
1,2014,service,export,Total Services,710565
2,2013,service,export,Total Services,687894
3,2012,service,export,Total Services,656411
4,2011,service,export,Total Services,627781
5,2014,service,export,Maintenance and Repair Services,22389
6,2013,service,export,Maintenance and Repair Services,18648
7,2012,service,export,Maintenance and Repair Services,17186
8,2011,service,export,Maintenance and Repair Services,14279
9,2014,service,export,Transport,90031
10,2013,service,export,Transport,87415
11,2012,service,export,Transport,83944
12,2011,service,export,Transport,79830
13,2014,service,export,Travel,177241
14,2013,service,export,Travel,172901
15,2012,service,export,Travel,161632
16,2011,service,export,Travel,150867
17,2014,service,export,Insurance Services,17417
18,2013,service,export,Insurance Services,17058
19,2012,service,export,Insurance Services,16790
20,2011,service,export,Insurance Services,15114
21,2014,service,export,Financial Services,87290
22,2013,service,export,Financial Services,84091
23,2012,service,export,Financial Services,76692
24,2011,service,export,Financial Services,78271
25,2014,service,export,Charges for the Use of Intellectual Property,130362
26,2013,service,export,Charges for the Use of Intellectual Property,127927
27,2012,service,export,Charges for the Use of Intellectual Property,124440
28,2011,service,export,Charges for the Use of Intellectual Property,123333
29,2014,service,export,"Telecommuni-cations, Computer, and Information Services",35885
30,2013,service,export,"Telecommuni-cations, Computer, and Information Services",35035
31,2012,service,export,"Telecommuni-cations, Computer, and Information Services",32510
32,2011,service,export,"Telecommuni-cations, Computer, and Information Services",29171
33,2014,service,export,Other Business Services,129514
34,2013,service,export,Other Business Services,121873
35,2012,service,export,Other Business Services,120382
36,2011,service,export,Other Business Services,112568
37,2014,service,export,Government Goods and Services,20438
38,2013,service,export,Government Goods and Services,22946
39,2012,service,export,Government Goods and Services,22835
40,2011,service,export,Government Goods and Services,24348
41,2014,good,export,Total Balance of Payments Basis,1632639
42,2013,good,export,Total Balance of Payments Basis,1592043
43,2012,good,export,Total Balance of Payments Basis,1562578
44,2011,good,export,Total Balance of Payments Basis,1499240
45,2014,good,export,Net Adjustments,12107
46,2013,good,export,Net Adjustments,13604
47,2012,good,export,Net Adjustments,16757
48,2011,good,export,Net Adjustments,16732
49,2014,good,export,Total Census Basis,1620532
50,2013,good,export,Total Census Basis,1578439
51,2012,good,export,Total Census Basis,1545821
52,2011,good,export,Total Census Basis,1482508
53,2014,good,export,"Foods, Feeds, Beverages",143751
54,2013,good,export,"Foods, Feeds, Beverages",136160
55,2012,good,export,"Foods, Feeds, Beverages",133049
56,2011,good,export,"Foods, Feeds, Beverages",126247
57,2014,good,export,Industrial Supplies,505114
58,2013,good,export,Industrial Supplies,508080
59,2012,good,export,Industrial Supplies,501177
60,2011,good,export,Industrial Supplies,501077
61,2014,good,export,Capital Goods,551056
62,2013,good,export,Capital Goods,534177
63,2012,good,export,Capital Goods,527178
64,2011,good,export,Capital Goods,493956
65,2014,good,export,"Automotive Vehicles, etc.",159690
66,2013,good,export,"Automotive Vehicles, etc.",152670
67,2012,good,export,"Automotive Vehicles, etc.",146158
68,2011,good,export,"Automotive Vehicles, etc.",133036
69,2014,good,export,Consumer Goods,198906
70,2013,good,export,Consumer Goods,189101
71,2012,good,export,Consumer Goods,181683
72,2011,good,export,Consumer Goods,175304
73,2014,good,export,Other Goods,62014
74,2013,good,export,Other Goods,58251
75,2012,good,export,Other Goods,56575
76,2011,good,export,Other Goods,52888
77,2014,service,import,Total Services,477428
78,2013,service,import,Total Services,463700
79,2012,service,import,Total Services,452013
80,2011,service,import,Total Services,435761
