Year,Sector,Good or Service,Export (in millions),Import (in millions),Employment,HypotheticalExportRed,HypotheticalImportRed,HypotheticalEmploymentRed,HypotheticalExportBlue,HypotheticalImportBlue,HypotheticalEmploymentBlue
1997,transportation_emp,,27006,28959,1326280,27006,28959,1326280,27006,28959,1326280
1998,transportation_emp,,25518,30457,1364680,25518,30457,1364680,25518,30457,1364680
1999,transportation_emp,,26916,34139,1363260,26916,34139,1363260,26916,34139,1363260
2000,transportation_emp,,30137,41598,1417410,30137,41598,1417410,30137,41598,1417410
2001,transportation_emp,,28306,38823,1354520,28306,38823,1354520,28306,38823,1354520
2002,transportation_emp,,29195,38407,833520,28720,41971,1362397,29195,38407,833520
2003,transportation_emp,,31329,44705,2694530,29141,45375,1370321,31329,44705,2694530
2004,transportation_emp,,36862,54169,2671300,29568,49055,1378291,36862,54169,2671300
2005,transportation_emp,,41281,61937,2740110,30001,53033,1386307,41281,61937,2740110
2006,transportation_emp,,46323,65262,2764820,30441,57334,1394370,46323,65262,2764820
2007,transportation_emp,,51586,67050,2809340,30886,61984,1402479,51586,67050,2809340
2008,transportation_emp,,44016,56696,2822430,31339,67011,1410636,44016,56696,2822430
2009,transportation_emp,,35533,42591,2671220,31798,72446,1418840,45050,59890,2848914
2010,transportation_emp,,39936,51202,2545110,32264,78321,1427092,46108,63265,2875647
2011,transportation_emp,,79830,81377,2618990,32737,84673,1435392,47191,66831,2902630
2012,transportation_emp,,83944,84985,2680530,33216,91540,1443740,48300,70597,2929867
2013,transportation_emp,,87415,90634,2729210,33703,98964,1452137,49434,74575,2957359
2014,transportation_emp,,90031,94219,2780700,34197,106990,1460583,50596,78777,2985110
