Year,Sector,Good or Service,Export (in millions),Import (in millions),Employment,HypotheticalExportRed,HypotheticalImportRed,HypotheticalEmploymentRed,HypotheticalExportBlue,HypotheticalImportBlue,HypotheticalEmploymentBlue
1997,travel_emp,,73301,52051,705430,73301,52051,705430,73301,52051,705430
1998,travel_emp,,71250,56105,720660,71250,56105,720660,71250,56105,720660
1999,travel_emp,,74731,58865,751240,74731,58865,751240,74731,58865,751240
2000,travel_emp,,82267,64788,761760,82267,64788,761760,82267,64788,761760
2001,travel_emp,,73119,60117,731390,73119,60117,731390,73119,60117,731390
2002,travel_emp,,66605,58715,1960980,73311,62455,738367,66605,58715,1960980
2003,travel_emp,,64348,57444,395000,73504,64885,745410,64348,57444,395000
2004,travel_emp,,74481,65635,398790,73697,67409,752521,74481,65635,398790
2005,travel_emp,,81799,68970,406400,73891,70031,759700,81799,68970,406400
2006,travel_emp,,85720,72104,408190,74085,72755,766947,85720,72104,408190
2007,travel_emp,,96712,76167,420020,74280,75585,774264,96712,76167,420020
2008,travel_emp,,110423,80494,434020,74475,78526,781650,110423,80494,434020
2009,travel_emp,,94191,74118,436810,74671,81580,789106,121514,86160,442300
2010,travel_emp,,103505,75507,437450,74867,84754,796634,133720,92226,450739
2011,travel_emp,,150867,89700,445820,75064,88051,804234,147152,98719,459339
2012,travel_emp,,161632,100338,453620,75262,91476,811906,161933,105669,468102
2013,travel_emp,,172901,104107,459580,75459,95035,819651,178199,113108,477033
2014,travel_emp,,177241,110787,472280,75658,98732,827470,196099,121071,486135
